"B1" "B2"
"1%" -0.287464920407643 0.0731648964315374
"2%" -0.281247594590976 0.0796964939533719
"3%" -0.278134669428793 0.0846576465495772
"4%" -0.275093408142606 0.0879062913265535
"5%" -0.27298960332972 0.0911442298059103
"6%" -0.271870850758757 0.0930859849232412
"7%" -0.270469102707373 0.0949013868734662
"8%" -0.269419457977756 0.0964347514855336
"9%" -0.26801244528647 0.0980444524599252
"10%" -0.266753956669088 0.100060196223785
"11%" -0.265620382556717 0.10178393510766
"12%" -0.26443528289469 0.10260707297293
"13%" -0.263544788815782 0.104231703737315
"14%" -0.262201273643243 0.105458493699469
"15%" -0.261124651464627 0.106709557134267
"16%" -0.260099060834316 0.107859462933393
"17%" -0.259339872229863 0.108593744721856
"18%" -0.258754066145185 0.109702997504133
"19%" -0.258348203567633 0.11062218024214
"20%" -0.257707070149499 0.111587261241922
"21%" -0.257033297289408 0.112284479884153
"22%" -0.256526101962736 0.113255782232322
"23%" -0.255932497763612 0.114155733007273
"24%" -0.255221187327079 0.11484421179475
"25%" -0.254609268517961 0.115767010150925
"26%" -0.253840389701044 0.116557177295227
"27%" -0.253414720551225 0.117216876547713
"28%" -0.252838404711284 0.117947960519187
"29%" -0.252176298925266 0.118777418570368
"30%" -0.251516623771531 0.11930757073524
"31%" -0.250974553518981 0.120303417573513
"32%" -0.250618029904729 0.12090651445035
"33%" -0.250216335251804 0.121675227658589
"34%" -0.249578504128132 0.122458067045653
"35%" -0.248895258794451 0.122966767680609
"36%" -0.248438112927615 0.123709028827617
"37%" -0.247876904441623 0.124287651949382
"38%" -0.247288742255413 0.124896567665533
"39%" -0.246931952535355 0.125451740942416
"40%" -0.24649428735467 0.125783869914333
"41%" -0.246012677352006 0.126347669136721
"42%" -0.245562536285336 0.126819009122543
"43%" -0.24490838538805 0.127151614638251
"44%" -0.244450460746783 0.127919307482617
"45%" -0.243793989939958 0.1286065257776
"46%" -0.243206783298057 0.128999904585937
"47%" -0.242752957620963 0.129634219406153
"48%" -0.242098753878535 0.130098416336778
"49%" -0.241760730395485 0.13060181998827
"50%" -0.241305201014885 0.131349932897812
"51%" -0.241016090504653 0.131942194568934
"52%" -0.240388093677782 0.13244852294634
"53%" -0.239692129626182 0.13333536771849
"54%" -0.239145055580634 0.133879482600244
"55%" -0.238595166110943 0.134523816998133
"56%" -0.238248248553664 0.13521161639678
"57%" -0.237667387154541 0.136256133739032
"58%" -0.237158970094174 0.136907778233487
"59%" -0.23669407581486 0.137443245380392
"60%" -0.236208869392935 0.138552461763364
"61%" -0.2357531325039 0.139186172396429
"62%" -0.235008514609117 0.139816468341511
"63%" -0.234376374575137 0.140549832842137
"64%" -0.234003614472505 0.141132300593786
"65%" -0.233507049054289 0.14164490909804
"66%" -0.232932734045794 0.142017630574902
"67%" -0.232044933557502 0.142507996151411
"68%" -0.231418268917191 0.143100440918069
"69%" -0.230729920603875 0.143642653340463
"70%" -0.230139703271259 0.144401864238876
"71%" -0.229697001947268 0.145101811604539
"72%" -0.229094049731591 0.146201933996812
"73%" -0.228471107612996 0.146904445412164
"74%" -0.22793802040127 0.147415170433825
"75%" -0.226924464222723 0.14802083620739
"76%" -0.226348094629469 0.14853686591172
"77%" -0.225788279373041 0.149322862643654
"78%" -0.225120835800489 0.150443433234145
"79%" -0.224610090567751 0.15109348267995
"80%" -0.223999773424908 0.152207275051651
"81%" -0.223294218866588 0.152986264192293
"82%" -0.222433896847577 0.153755411553824
"83%" -0.221782745918691 0.154623312695844
"84%" -0.220929382822081 0.155499346301516
"85%" -0.219979729659209 0.15661335859857
"86%" -0.218779626779404 0.157714917803969
"87%" -0.217782925244294 0.15893781028595
"88%" -0.216967449701948 0.159959339405254
"89%" -0.215726710311965 0.16125430872276
"90%" -0.214557141487005 0.162806889014727
"91%" -0.213269463649337 0.164230916210286
"92%" -0.212267016702971 0.16593338133607
"93%" -0.210816522102248 0.167088264893356
"94%" -0.209639440647554 0.169044781824667
"95%" -0.208187543094828 0.170897749604068
"96%" -0.205952485202842 0.173858469595859
"97%" -0.203123421124578 0.176643958624958
"98%" -0.197892819137746 0.180085818002438
"99%" -0.193594566400032 0.186289662237925
